,Unnamed: 0,age_certification,description,genres,id,imdb_id,imdb_score,imdb_votes,production_countries,release_year,runtime,seasons,title,tmdb_id,tmdb_popularity,tmdb_score,type,budget,revenue,winst
2,369,PG-13,"A seasoned team of bank robbers, including Gordon Jennings, John Rahway, A.J., and brothers Jake and Jesse Attica successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost, a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer inches closer to apprehending the criminals.","['action', 'crime', 'drama', 'thriller']",tm100015,tt1135084,6.2,62464.0,['US'],2010,107,,Takers,22907,15.872,6.228,MOVIE,32000000.0,80205382.0,48205382.0
34,4914,R,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","['romance', 'drama']",tm1003630,tt13069986,4.6,13221.0,"['FR', 'US']",2021,99,,After We Fell,744275,341.558,7.2,MOVIE,14000000.0,21500000.0,7500000.0
50,339,R,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.","['crime', 'action', 'comedy', 'thriller']",tm101249,tt1385867,5.5,88026.0,['US'],2010,107,,Cop Out,23742,13.63,5.6,MOVIE,30000000.0,55583804.0,25583804.0
52,355,R,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.","['comedy', 'drama']",tm101334,tt1321509,5.7,49901.0,['US'],2010,92,,Death at a Funeral,34803,15.989,5.8,MOVIE,21000000.0,49050886.0,28050886.0
93,5451,PG-13,"In the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.","['action', 'fantasy']",tm1022893,tt7587604,4.7,2146.0,"['NZ', 'HK']",2021,118,,Dynasty Warriors,525660,165.339,6.4,MOVIE,38504400.0,3310000.0,-35194400.0
96,304,R,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.","['horror', 'thriller', 'crime', 'drama']",tm102337,tt1179056,5.2,99894.0,['US'],2010,95,,A Nightmare on Elm Street,23437,39.672,5.5,MOVIE,35000000.0,115664037.0,80664037.0
124,562,PG,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.","['drama', 'comedy']",tm102848,tt1447508,7.4,12309.0,['IN'],2010,104,,Peepli Live,44549,3.404,7.3,MOVIE,2270000.0,6900000.0,4630000.0
136,353,R,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.","['drama', 'action', 'history', 'sport']",tm103095,tt1386932,7.5,104500.0,"['HK', 'CN']",2010,108,,Ip Man 2,37472,4.516,7.5,MOVIE,12902809.0,36000000.0,23097191.0
140,512,PG,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.","['thriller', 'romance', 'drama']",tm103133,tt1373156,7.1,12114.0,['IN'],2010,135,,Karthik Calling Karthik,34764,7.725,6.3,MOVIE,2800000.0,3900000.0,1100000.0
161,402,R,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",['drama'],tm103732,tt1639426,8.1,44862.0,['IN'],2010,138,,Udaan,45316,5.019,7.3,MOVIE,800000.0,520000.0,-280000.0
